[Example 1]
state: (0, 10, 4, 0) | action: 1
state: (0, 9, 4, 0) | action: 1
state: (0, 8, 4, 0) | action: 1
state: (0, 7, 4, 0) | action: 0
state: (0, 7, 2, 0) | action: 1
state: (0, 6, 2, 0) | action: 1
state: (0, 5, 2, 0) | action: 1
state: (0, 4, 2, 0) | action: 1
state: (0, 3, 2, 0) | action: 0
state: (0, 3, 0, 0) | action: 1
state: (0, 2, 0, 0) | action: 1
state: (0, 1, 0, 0) | action: 1

[Example 7]
state: (45, 22, 10, 25) | action: 1
state: (43, 21, 10, 25) | action: 1
state: (41, 20, 10, 25) | action: 1
state: (39, 19, 10, 25) | action: 0
state: (37, 19, 8, 25) | action: 1
state: (35, 18, 8, 25) | action: 1
state: (33, 17, 8, 25) | action: 1
state: (31, 16, 8, 25) | action: 1
state: (29, 15, 8, 25) | action: 0
state: (27, 15, 6, 25) | action: 1
state: (25, 14, 6, 25) | action: 1
state: (23, 13, 6, 25) | action: 1
state: (21, 12, 6, 25) | action: 1
state: (19, 11, 6, 25) | action: 0
state: (17, 11, 4, 25) | action: 1
state: (15, 10, 4, 25) | action: 1
state: (13, 9, 4, 25) | action: 1
state: (11, 8, 4, 25) | action: 3
state: (11, 7, 4, 24) | action: 2
state: (11, 7, 2, 23) | action: 3
state: (11, 6, 2, 22) | action: 3
state: (11, 5, 2, 21) | action: 1
state: (9, 4, 2, 21) | action: 3
state: (9, 3, 2, 20) | action: 2
state: (9, 3, 0, 19) | action: 3
state: (9, 2, 0, 18) | action: 3
state: (9, 1, 0, 17) | action: 1
state: (7, 0, 0, 17) | action: 2
state: (7, 0, 0, 16) | action: 2
state: (7, 0, 0, 15) | action: 2
state: (7, 0, 0, 14) | action: 2
state: (7, 0, 0, 13) | action: 0
state: (5, 0, 0, 13) | action: 2
state: (5, 0, 0, 12) | action: 2
state: (5, 0, 0, 11) | action: 2
state: (5, 0, 0, 10) | action: 2
state: (5, 0, 0, 9) | action: 0
state: (3, 0, 0, 9) | action: 2
state: (3, 0, 0, 8) | action: 2
state: (3, 0, 0, 7) | action: 2
state: (3, 0, 0, 6) | action: 2
state: (3, 0, 0, 5) | action: 0
state: (1, 0, 0, 5) | action: 2
state: (1, 0, 0, 4) | action: 2
state: (1, 0, 0, 3) | action: 2
state: (1, 0, 0, 2) | action: 2
state: (1, 0, 0, 1) | action: 0
state: (0, 0, 0, 1) | action: 2

[Example 8]
state: (8, 19, 19, 1) | action: 0
state: (6, 19, 17, 1) | action: 0
state: (4, 19, 15, 1) | action: 0
state: (2, 19, 13, 1) | action: 0
state: (0, 19, 11, 1) | action: 2
state: (0, 19, 9, 0) | action: 1
state: (0, 18, 9, 0) | action: 1
state: (0, 17, 9, 0) | action: 0
state: (0, 17, 7, 0) | action: 1
state: (0, 16, 7, 0) | action: 1
state: (0, 15, 7, 0) | action: 1
state: (0, 14, 7, 0) | action: 1
state: (0, 13, 7, 0) | action: 0
state: (0, 13, 5, 0) | action: 1
state: (0, 12, 5, 0) | action: 1
state: (0, 11, 5, 0) | action: 1
state: (0, 10, 5, 0) | action: 1
state: (0, 9, 5, 0) | action: 0
state: (0, 9, 3, 0) | action: 1
state: (0, 8, 3, 0) | action: 1
state: (0, 7, 3, 0) | action: 1
state: (0, 6, 3, 0) | action: 1
state: (0, 5, 3, 0) | action: 0
state: (0, 5, 1, 0) | action: 1
state: (0, 4, 1, 0) | action: 1
state: (0, 3, 1, 0) | action: 1
state: (0, 2, 1, 0) | action: 1
state: (0, 1, 1, 0) | action: 0
state: (0, 1, 0, 0) | action: 1

[Example 9]
state: (38, 9, 32, 27) | action: 0
state: (36, 9, 30, 27) | action: 0
state: (34, 9, 28, 27) | action: 0
state: (32, 9, 26, 27) | action: 0
state: (30, 9, 24, 27) | action: 0
state: (28, 9, 22, 27) | action: 0
state: (26, 9, 20, 27) | action: 0
state: (24, 9, 18, 27) | action: 0
state: (22, 9, 16, 27) | action: 0
state: (20, 9, 14, 27) | action: 0
state: (18, 9, 12, 27) | action: 0
state: (16, 9, 10, 27) | action: 0
state: (14, 9, 8, 27) | action: 0
state: (12, 9, 6, 27) | action: 2
state: (12, 9, 4, 26) | action: 3
state: (12, 8, 4, 25) | action: 3
state: (12, 7, 4, 24) | action: 2
state: (12, 7, 2, 23) | action: 1
state: (10, 6, 2, 23) | action: 3
state: (10, 5, 2, 22) | action: 3
state: (10, 4, 2, 21) | action: 3
state: (10, 3, 2, 20) | action: 2
state: (10, 3, 0, 19) | action: 1
state: (8, 2, 0, 19) | action: 3
state: (8, 1, 0, 18) | action: 3
state: (8, 0, 0, 17) | action: 2
state: (8, 0, 0, 16) | action: 2
state: (8, 0, 0, 15) | action: 0
state: (6, 0, 0, 15) | action: 2
state: (6, 0, 0, 14) | action: 2
state: (6, 0, 0, 13) | action: 2
state: (6, 0, 0, 12) | action: 2
state: (6, 0, 0, 11) | action: 0
state: (4, 0, 0, 11) | action: 2
state: (4, 0, 0, 10) | action: 2
state: (4, 0, 0, 9) | action: 2
state: (4, 0, 0, 8) | action: 2
state: (4, 0, 0, 7) | action: 0
state: (2, 0, 0, 7) | action: 2
state: (2, 0, 0, 6) | action: 2
state: (2, 0, 0, 5) | action: 2
state: (2, 0, 0, 4) | action: 2
state: (2, 0, 0, 3) | action: 0
state: (0, 0, 0, 3) | action: 2
state: (0, 0, 0, 2) | action: 2
state: (0, 0, 0, 1) | action: 2

[Example 10]
state: (46, 2, 26, 19) | action: 0
state: (44, 2, 24, 19) | action: 0
state: (42, 2, 22, 19) | action: 0
state: (40, 2, 20, 19) | action: 0
state: (38, 2, 18, 19) | action: 0
state: (36, 2, 16, 19) | action: 0
state: (34, 2, 14, 19) | action: 0
state: (32, 2, 12, 19) | action: 0
state: (30, 2, 10, 19) | action: 0
state: (28, 2, 8, 19) | action: 0
state: (26, 2, 6, 19) | action: 0
state: (24, 2, 4, 19) | action: 0
state: (22, 2, 2, 19) | action: 0
state: (20, 2, 0, 19) | action: 1
state: (18, 1, 0, 19) | action: 1
state: (16, 0, 0, 19) | action: 0
state: (14, 0, 0, 19) | action: 0
state: (12, 0, 0, 19) | action: 0
state: (10, 0, 0, 19) | action: 0
state: (8, 0, 0, 19) | action: 2
state: (8, 0, 0, 18) | action: 2
