0	0	0	0	0			"const Traffic_State = new traffic_state(0, 0, 0, 0, 0);"
0	0	0	0	0			"const Traffic_State = new traffic_state(0, 0, 0, 0, 0);"
1	0	0	1	0			"const Traffic_State = new traffic_state(1, 0, 0, 1, 0);"
0	0	0	2	10			"const Traffic_State = new traffic_state(0, 0, 0, 2, 10);"
1	0	0	1	0			"const Traffic_State = new traffic_state(1, 0, 0, 1, 0);"
1	0	0	1	0			"const Traffic_State = new traffic_state(1, 0, 0, 1, 0);"
0	0	0	1	10			"const Traffic_State = new traffic_state(0, 0, 0, 1, 10);"
0	0	0	1	10			"const Traffic_State = new traffic_state(0, 0, 0, 1, 10);"
0	0	0	0	0			"const Traffic_State = new traffic_state(0, 0, 0, 0, 0);"
1	0	0	0	0			"const Traffic_State = new traffic_state(1, 0, 0, 0, 0);"
0	1	1	0	0			"const Traffic_State = new traffic_state(0, 1, 1, 0, 0);"
1	2	1	0	5			"const Traffic_State = new traffic_state(1, 2, 1, 0, 5);"
0	0	2	0	0			"const Traffic_State = new traffic_state(0, 0, 2, 0, 0);"
0	0	1	1	10			"const Traffic_State = new traffic_state(0, 0, 1, 1, 10);"
0	1	0	0	5			"const Traffic_State = new traffic_state(0, 1, 0, 0, 5);"
0	1	1	0	0			"const Traffic_State = new traffic_state(0, 1, 1, 0, 0);"
1	2	1	0	5			"const Traffic_State = new traffic_state(1, 2, 1, 0, 5);"
1	1	1	0	0			"const Traffic_State = new traffic_state(1, 1, 1, 0, 0);"
1	1	0	0	5			"const Traffic_State = new traffic_state(1, 1, 0, 0, 5);"
1	0	0	1	0			"const Traffic_State = new traffic_state(1, 0, 0, 1, 0);"
0	5	0	1	16			"const Traffic_State = new traffic_state(0, 5, 0, 1, 16);"
1	1	4	1	0			"const Traffic_State = new traffic_state(1, 1, 4, 1, 0);"
1	2	2	2	10			
1	2	1	1	5			
5	0	2	2	1			
1	0	1	3	11			
1	1	1	1	0			
0	2	1	2	15			
0	0	1	1	10			
0	0	1	1	10			
0	0	1	1	10			
0	1	1	0	0			
1	2	0	1	5			
1	0	1	2	10			
2	0	1	0	0			
0	0	1	0	0			
0	0	1	0	0			
1	1	1	0	0			
1	2	1	1	5			
0	0	2	1	10			
0	1	1	0	0			
1	4	0	1	6			
0	0	5	1	11			
0	0	1	1	10			
1	1	0	1	5			
1	0	0	1	0			
0	0	0	2	10			
1	1	0	6	17			
1	0	0	1	0			
0	1	0	2	15			
1	1	0	1	5			
1	1	0	1	5			
1	1	0	2	15			
1	1	0	1	5			
1	0	0	3	11			
2	1	1	1	0			
1	2	0	1	5			
1	0	1	2	10			
2	2	0	1	5			
1	0	1	1	0			
1	1	1	2	10			
2	1	0	1	5			
1	0	1	1	0			
1	0	1	1	0			
0	0	1	1	10			
1	0	1	0	0			
1	0	1	1	0			
1	1	0	1	5			
1	0	1	1	0			
1	1	1	1	0			
1	2	1	1	5			
1	0	2	1	0			
1	0	1	6	12			
1	0	1	0	0			
1	0	0	0	0			
1	1	1	0	0			
0	2	0	0	5			
0	1	1	0	0			
1	2	1	0	5			
1	0	1	0	0			
0	1	0	4	16			
0	0	0	0	0			
1	1	0	1	5			
0	1	0	1	15			
1	1	1	0	0			
0	2	0	0	5			
1	1	0	0	5			
0	0	1	0	0			
0	1	1	0	0			
0	2	0	0	5			
0	1	0	0	5			
0	1	0	0	5			
0	1	0	0	5			
0	1	0	0	5			
0	1	0	1	15			
0	1	0	0	5			
1	1	0	0	5			
0	1	1	1	10			
4	2	0	0	5			
0	1	1	1	10			
0	2	1	0	5			
1	0	1	0	0			
0	0	0	0	0			
1	0	1	0	0			
1	1	1	0	0			
1	2	1	0	5			
0	1	2	0	0			
0	1	4	0	0			
1	2	1	0	5			
1	1	2	0	0			
1	2	2	0	0			
0	3	1	0	6			
0	1	2	0	0			
0	2	0	4	16			
0	1	0	0	5			
0	1	1	1	10			
0	2	0	0	5			
1	1	0	1	5			
1	1	1	2	10			
2	2	1	1	5			
1	1	2	1	0			
1	2	4	2	10			
1	3	1	0	6			
0	0	1	0	0			
0	0	0	5	11			
0	0	1	0	0			
1	0	1	2	10			
1	0	0	0	0			
1	0	1	1	0			
1	1	1	2	10			
2	2	1	1	5			
1	0	2	2	10			
2	1	1	1	0			
1	1	1	2	10			
1	1	1	1	0			
0	1	1	2	10			
0	1	1	1	10			
0	1	1	1	10			
0	2	1	1	15			
6	1	2	1	1			
1	2	1	2	15			
3	0	2	1	0			
1	1	1	2	10			
2	2	1	1	5			
1	1	2	2	10			
2	1	0	1	5			
1	1	1	2	10			
2	1	1	1	0			
1	2	1	2	15			
1	1	2	1	0			
0	2	1	2	15			
0	1	1	4	11			
0	2	1	0	5			
0	0	2	0	0			
0	1	1	0	0			
0	2	0	0	5			
0	1	1	1	10			
0	2	1	1	15			
1	0	2	0	0			
1	1	0	0	5			
1	1	1	2	10			
2	2	2	0	0			
1	3	0	0	6			
1	1	0	0	5			
1	1	4	0	0			
0	2	1	1	15			
0	1	2	0	0			
1	2	0	0	5			
1	1	0	0	5			
1	0	0	0	0			
1	1	0	0	5			
1	1	1	0	0			
1	3	1	0	6			
1	0	1	0	0			
5	3	0	0	6			
2	0	1	1	0			
1	0	0	1	0			
1	0	0	1	0			
0	0	1	2	10			
1	0	0	0	0			
1	0	1	0	0			
1	0	0	0	0			
